nam	block	ofs	dependent		predictor	condition	plot	col	hex	table
aG	1		donation	~	gender	[man]	T	1	00AAFF	1
	1		donation	~	gender	[woman]	T	2	FFA321	1
bA	1		donation	~	age		T	3	A0A0A0	1
bP	1	0.6	donation	~	precaution		T	4	009696	1
bS	1		donation	~	prosociality		T	5	960096	1
aC	1	0.6	donation	~	message	[none]	T	6	FFFFFF	1
	1		donation	~	message	[prudence]	T	7	CC3366	1
	1		donation	~	message	[general moral]	T	8	000000	1
	1		donation	~	message	[family]	T	9	440154	1
	1		donation	~	message	[group]	T	10	443A83	1
	1		donation	~	message	[reciprocity]	T	11	31688E	1
	1		donation	~	message	[heroism]	T	12	21908C	1
	1		donation	~	message	[deference]	T	13	35B779	1
	1		donation	~	message	[fairness]	T	14	8FD744	1
	1		donation	~	message	[property]	T	15	FDE725	1
bCon	1	0.6	donation	~	MAC message		T	16	808080	1
bFam	1	0.6	donation	~	MAC family		T	9		1
bGro	1		donation	~	MAC group		T	10		1
bRec	1		donation	~	MAC reciprocity		T	11		1
bHer	1		donation	~	MAC heroism		T	12		1
bDef	1		donation	~	MAC deference		T	13		1
bFai	1		donation	~	MAC fairness		T	14		1
bPro	1		donation	~	MAC property		T	15		1
bDg	1	0.6	donation	~	COVID danger		T	17	FF0000	1
aGP	2		precaution	~	gender	[man]	T	1		1
	2		precaution	~	gender	[woman]	T	2		1
bAP	2		precaution	~	age		T	3		1
aCP	2	0.6	precaution	~	message	[none]	T	6		1
	2		precaution	~	message	[prudence]	T	7		1
	2		precaution	~	message	[general moral]	T	8		1
	2		precaution	~	message	[family]	T	9		1
	2		precaution	~	message	[group]	T	10		1
	2		precaution	~	message	[reciprocity]	T	11		1
	2		precaution	~	message	[heroism]	T	12		1
	2		precaution	~	message	[deference]	T	13		1
	2		precaution	~	message	[fairness]	T	14		1
	2		precaution	~	message	[property]	T	15		1
bConP	2	0.6	precaution	~	MAC message		T	16		1
bFamP	2	0.6	precaution	~	MAC family		T	9		1
bGroP	2		precaution	~	MAC group		T	10		1
bRecP	2		precaution	~	MAC reciprocity		T	11		1
bHerP	2		precaution	~	MAC heroism		T	12		1
bDefP	2		precaution	~	MAC deference		T	13		1
bFaiP	2		precaution	~	MAC fairness		T	14		1
bProP	2		precaution	~	MAC property		T	15		1
bDgP	2	0.6	precaution	~	COVID danger		T	17		1
aGS	3		prosociality	~	gender	[man]	T	1		1
	3		prosociality	~	gender	[woman]	T	2		1
bAS	3		prosociality	~	age		T	3		1
aCS	3	0.6	prosociality	~	message	[none]	T	6		1
	3		prosociality	~	message	[prudence]	T	7		1
	3		prosociality	~	message	[general moral]	T	8		1
	3		prosociality	~	message	[family]	T	9		1
	3		prosociality	~	message	[group]	T	10		1
	3		prosociality	~	message	[reciprocity]	T	11		1
	3		prosociality	~	message	[heroism]	T	12		1
	3		prosociality	~	message	[deference]	T	13		1
	3		prosociality	~	message	[fairness]	T	14		1
	3		prosociality	~	message	[property]	T	15		1
bConS	3	0.6	prosociality	~	MAC message		T	16		1
bFamS	3	0.6	prosociality	~	MAC family		T	9		1
bGroS	3		prosociality	~	MAC group		T	10		1
bRecS	3		prosociality	~	MAC reciprocity		T	11		1
bHerS	3		prosociality	~	MAC heroism		T	12		1
bDefS	3		prosociality	~	MAC deference		T	13		1
bFaiS	3		prosociality	~	MAC fairness		T	14		1
bProS	3		prosociality	~	MAC property		T	15		1
bDgS	3	0.6	precaution	~	COVID danger		T	17		1
sigmaD							F			1
sigmaP							F			1
sigmaS							F			1
aG_Fam	4		MAC family	~	gender	[man]	T	1		1
	4		MAC family	~	gender	[woman]	T	2		1
aG_Gro	4		MAC group	~	gender	[man]	T	1		1
	4		MAC group	~	gender	[woman]	T	2		1
aG_Rec	4		MAC reciprocity	~	gender	[man]	T	1		1
	4		MAC reciprocity	~	gender	[woman]	T	2		1
aG_Her	4		MAC heroism	~	gender	[man]	T	1		1
	4		MAC heroism	~	gender	[woman]	T	2		1
aG_Def	4		MAC deference	~	gender	[man]	T	1		1
	4		MAC deference	~	gender	[woman]	T	2		1
aG_Fai	4		MAC fairness	~	gender	[man]	T	1		1
	4		MAC fairness	~	gender	[woman]	T	2		1
aG_Pro	4		MAC property	~	gender	[man]	T	1		1
	4		MAC property	~	gender	[woman]	T	2		1
bAge_Fam	4	0.6	MAC family	~	age		T	3		1
bAge_Gro	4		MAC group	~	age		T	3		1
bAge_Rec	4		MAC reciprocity	~	age		T	3		1
bAge_Her	4		MAC heroism	~	age		T	3		1
bAge_Def	4		MAC deference	~	age		T	3		1
bAge_Fai	4		MAC fairness	~	age		T	3		1
bAge_Pro	4		MAC property	~	age		T	3		1
sigma_Fam							F			1
sigma_Gro							F			1
sigma_Rec							F			1
sigma_Her							F			1
sigma_Def							F			1
sigma_Fai							F			1
sigma_Pro							F			1
aG_Dang	5		COVID danger	~	gender	[man]	T	1		1
	5		COVID danger	~	gender	[woman]	T	2		1
bAge_Dang	5		COVID danger	~	age		T	3		1
sigma_Dang							F			1
aGC	1		donation	~	gender	[man]	T	1		2
	1		donation	~	gender	[woman]	T	2		2
bAC	1		donation	~	age		T	3		2
